Id-risorsa,Tipologia-risorsa,Data-creazione,Anno-inizio,IdentificativoIRIS,Titolo,Descrizione,Sede,Durata,Data-fine,Responsabili,Partecipanti,Dipartimenti,EntiPartner-ID,Enti-Descrizione,Aree-scientifiche-coinvolte,Obbiettivi,Tipologia-coinvolgimento,Pubblici-Coinvolti,Finanziamenti-esterni,Link,Settori-Erc,SSD,Parole-chiave,Iniziative-figlieIDIRIS,Iniziative-padreIDIRIS,Centri-ricerca-collegatiIDIRIS,Progetti-collegati
19129,Organizzazione di concerti spettacoli teatrali rassegne cinematografiche eventi sportivi mostre esposizioni e altri eventi di pubblica utilità aperti alla comunità,09/02/2022,2019,PEN-1097,Diversity Day Torino,,,1,27/09/2019,MATTUTINO Claudio,CENA Federica,INFORMATICA,,,,,,Categorie speciali o svantaggiate (es. media professionisti DSA disabili disoccupati immigrati carcerati …) (150)/// Imprese (20)/// Istituzioni ed enti locali (30),,https://diversityday.it/prossimo-evento-torino-27-settembre-2019,,,,,,,
19131,Organizzazione di concerti spettacoli teatrali rassegne cinematografiche eventi sportivi mostre esposizioni e altri eventi di pubblica utilità aperti alla comunità,09/02/2022,2020,PEN-1098,AUTISMO: il valore della neurodiversità,Soggetti all'interno dello spettro autistico,,1,02/04/2020,MATTUTINO Claudio,CENA Federica,INFORMATICA,,,,,,Categorie speciali o svantaggiate (es. media professionisti DSA disabili disoccupati immigrati carcerati …) (20)/// Cittadini (50),,,,,,,,,
19169,Attività di coinvolgimento e interazione con il mondo della scuola,09/02/2022,2019,PEN-1117,Presentazione gioco -4 season 4 saving-,,,1,29/10/2019,MATTUTINO Claudio,CAPECCHI Sara/// ARDISSONO Liliana/// ALDINUCCI Marco,INFORMATICA,,,,,,Istituzioni ed enti locali (5)/// Primaria insegnanti (2)/// Primaria studenti (30),,,,,,,,,
19171,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1118,BIG DIVE Hacking Development Viz and Data Science,,,26,12/07/2019,MATTUTINO Claudio,ALDINUCCI Marco/// ARDISSONO Liliana,INFORMATICA,,,,,,Cittadini (20),,https://www.bigdive.eu/big-dive-8/,,,,,,,
19175,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1120,Research Meeting,,,1,12/06/2019,MATTUTINO Claudio,ALDINUCCI Marco/// BOTTA Marco,INFORMATICA,,,,,,Imprese (40)/// Istituzioni ed enti locali (40),,,,,,,,,
19177,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1121,4th SmartData@PoliTO workshop - WIDENING PUR HORIZONS,,,1,28/02/2019,MATTUTINO Claudio,ALDINUCCI Marco,INFORMATICA,,,,,,Cittadini (100)/// Imprese (20)/// Istituzioni ed enti locali (10),,https://smartdata.polito.it/4th-smartdata-workshop-public/,,,,,,,
19181,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1123,OCCAM Workshops,,,365,31/12/2019,MATTUTINO Claudio,RABELLINO Sergio/// MATTUTINO Claudio/// SERENO Matteo,INFORMATICA,,,,,,Cittadini (100),,,,,,,,,
19198,Organizzazione di concerti spettacoli teatrali rassegne cinematografiche eventi sportivi mostre esposizioni e altri eventi di pubblica utilità aperti alla comunità,09/02/2022,2019,PEN-1132,Swift Heroes,,,2,15/11/2019,MATTUTINO Claudio,CARDONE Felice,INFORMATICA,,,,,,Cittadini (500)/// Secondaria II grado insegnanti (50)/// Secondaria II grado studenti (100),,https://swiftheroes.com/2019/en,,,,,,,
19208,Iniziative di democrazia partecipativa,09/02/2022,2019,PEN-1137,Digital Ethics Forum - Panel -App & Etica-,Partecipazione come relatore al panel su App & Etica.,,1,05/10/2019,PENSA Ruggero Gaetano,,INFORMATICA,,,,,,Cittadini (15)/// Imprese (5),,,,,,,,,
19210,Partecipazione alla formulazione di programmi di pubblico interesse (policy-making),09/02/2022,2020,PEN-1138,Mission vision e strategie della Fondazione CRT tra flussi e luoghi,Focus group - Educazione alla cittadinanza,,1,21/02/2020,PENSA Ruggero Gaetano,,INFORMATICA,,,,,,Imprese (5)/// Istituzioni ed enti locali (10)/// Terzo settore/ONG (15),,,,,,,,,
19214,Iniziative di democrazia partecipativa,09/02/2022,2019,PEN-1140,IL RUOLO DELLA TECNOLOGIA NELLO SVILUPPO SOCIO-ECONOMICO E CULTURALE DELL'EUROPA,Panel su Tecnologia e Privacy,,1,15/02/2019,PENSA Ruggero Gaetano,,INFORMATICA,,,,,,Cittadini (30)/// Istituzioni ed enti locali (5),,,,,,,,,
19216,Pubblicazione e gestione di siti web e altri canali social di comunicazione e divulgazione scientifica,09/02/2022,2019,PEN-1141,Social4School - gestione canali social (Facebook Twitter Youtube),,,365,31/12/2019,PENSA Ruggero Gaetano,CAPECCHI Sara/// DI NOI VALENTINA,INFORMATICA,,,,,,Cittadini (200)/// Istituzioni ed enti locali (10)/// Primaria insegnanti (50)/// Secondaria I grado insegnanti (50)/// Secondaria II grado insegnanti (20),,,,,,,,,
19280,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-0962,-What remains of... video interactions:tools edition- - Storia della gameindustry e non so,Un viaggio di quattro ore alla scoperta di grandi classici periferiche assurde e scelte che hanno “firmato” il mercato tecnologico e sono arrivate a noi fino a oggi in modo più o meno evidente.,,1,06/12/2019,MATTUTINO Claudio,GRANGETTO Marco,INFORMATICA,,,,,,Cittadini (100),,,,,,,,,
19355,Pubblicazione e gestione di siti web e altri canali social di comunicazione e divulgazione scientifica,09/02/2022,2019,PEN-1000,DiUniTO canale Facebook,300000 copertura rilevata tramite Facebook Analytics,,365,31/12/2019,MATTUTINO Claudio,MICALIZIO Roberto/// VERNERO Fabiana/// ARDISSONO Liliana/// CORDERO Francesca/// BASILE Valerio/// BOSCO Cristina/// BECCUTI Marco/// ALDINUCCI Marco/// BOELLA Guido/// RABELLINO Sergio/// PATTI Viviana/// CENA Federica/// CARDONE Felice/// GRANGETTO Marco/// RUFFO Giancarlo Francesco/// LIETO Antonio/// BIOGLIO Livio/// PENSA Ruggero Gaetano/// CAPECCHI Sara/// SERENO Matteo/// GOY Annamaria/// DUMA DAVIDE/// DAMIANO Rossana/// MAZZEI Alessandro/// GENA Cristina/// FERRERO Giulio/// BALDONI Matteo/// BAROGLIO Cristina/// TORTA Gianluca/// LUCENTEFORTE Maurizio,INFORMATICA,,,,,,Cittadini (300000),,,,,,,,,
19357,Pubblicazioni (cartacee e digitali) dedicate al pubblico non esperto,09/02/2022,2019,PEN-1001,Lessico e nuvole: le parole del cambiamento climatico,Nuova guida linguistica e scientifica rivolta a insegnanti studenti comunicatori e tutti coloro che vogliano saperne di più su una realtà che desta sempre maggiore attenzione e preoccupazione da parte dell’opinione pubblica.,,549,30/09/2020,LATINI Gianni,BONA Francesca/// FERROGLIO Ezio/// SARVIA FILIPPO/// BOLLO Enrico/// BORGOGNO MONDINO Enrico Corrado/// FALASCO Elisa/// VESCE Enrica/// MAGGIOLINI Micol/// BARONETTI ALICE/// BARNI Elena/// DANSERO Egidio/// TECCO Nadia/// GIARDINO Marco/// MINELLA Marco/// BAGLIANI Marco Maria/// DEVECCHI Marco/// CORAZZA Laura/// BARICCO Marcello/// VIOLA Gabriella/// ASCIONE GRAZIA SVEVA/// BECCUTI Marco/// RICCHIARDI Gabriele/// DE PICCOLI Norma/// FREPPAZ Michele/// MAULE Milena Maria/// CISI Maurizio/// CRAVERO MATTIA/// DEMATA Massimiliano/// PUGLIESE Massimo/// CAIMOTTO Maria Cristina/// MANO Maria Piera/// TONON Marco Davide/// PALAZZI Elisa/// ZAMBELLA Domenico/// PADOVAN Dario/// SCAGNI Andrea/// FARGIONE Daniela/// FURIASSI Cristiano Gino/// SINISCALCO Maria Consolata/// CASSARDO Claudio/// ARROBBIO Osman/// EVOLA ROSALIA STELLA/// ORUSA TOMMASO/// BERTELLO Alberto/// FRATIANNI SIMONA/// DUGLIO Stefano/// DE PETRIS SAMUELE/// FERRARESE Silvia/// GAMBINO Paolo/// BELTRAMO Riccardo/// ASCOLI Davide,Area Valorizzazione Impatto e Public Engagement/// SCIENZE DELLA TERRA/// ECONOMIA E STATISTICA -COGNETTI DE MARTIIS-/// FISICA/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// STUDI UMANISTICI/// CULTURE POLITICA E SOCIETA'/// SCIENZE AGRARIE FORESTALI E ALIMENTARI/// MATEMATICA -GIUSEPPE PEANO-/// Direzione Sicurezza Patrimonio e Facility Management/// MANAGEMENT -VALTER CANTINO-/// SCIENZE VETERINARIE/// INFORMATICA/// CHIMICA/// AGRO-INNOVA/// SCIENZE MEDICHE/// PSICOLOGIA,,,,,,Cittadini (2500)/// Istituzioni ed enti locali (2)/// Primaria insegnanti (100)/// Secondaria I grado insegnanti (100)/// Secondaria I grado studenti (500)/// Secondaria II grado insegnanti (100)/// Secondaria II grado studenti (500),,https://frida.unito.it/wn_pages/tmContenuto.php/744_inquinamento-clima-e-riscaldamento-globale/17_lessico-e-nuvole-le-parole-del-cambiamento-climatico/,,,,PEN-14251,,,
19360,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1003,Cos’è l’IA e come viene studiata,,,1,28/10/2019,BALDONI Matteo,,INFORMATICA,,,,,,Cittadini (40)/// Istituzioni ed enti locali (1)/// Secondaria I grado studenti (10),,,,,,,,,
