Identificativo univoco del prodotto (della versione master);ID prodotto;Handle (della versione master);Status di validazione;Titolo;Anno di pubblicazione;Data di creazione;Data Ahead of Print;Tipologia (definita da IRIS);Tipologia (collezione);Sottotipologia;Status di pubblicazione;Presenza coautori internazionali;Tutti gli autori/Curatori;Nr autori/Curatori (numero);contributors: autori/curatori di journal/serie di fascia A;Rilevanza nazionale/internazionale;Tipo di referaggio;Carattere della pubblicazione;SSD del prodotto;Lingua (codice);Rivista/Serie: ISSN;URL;DOI;Formato;codice: ISBN;Abstract;Parole chiave;brevetto: Data di deposito;Centro di ricerca;autore: ID persona (IRIS);Parole chiave - ERC (concatenazione) - autore;scopus: Nr citazioni;wos: Identificativo;scopus: Identificativo;wos: Nr citazioni;wos: affiliations;u-gov: Classificazione ausiliaria 1;wos: Valore Impact factor;Presenza Impact Factor (indicato nei metadati- manuale);wos: Valore Impact factor (riferito all'ultimo anno disponibile)
10615;10615;2318/1512798;Validazione non prevista (pubblicato);CoreGRID Workshop on Grid Programming Model, Grid and P2P Systems Architecture, Grid Systems Tools and Environments, Heraklion, Crete, Greece, 2007.;2007;;;info:eu-repo/semantics/other;07Z-Altro;;;no;Marco Aldinucci;1;;Internazionale;;;;eng;;http://www.coregrid.net/mambo/content/view/356/296/;10.1007/978-0-387-78448-9;;;"The workshop aims at bringing together the academic and industrial communities performing Grid research in Europe. The workshop is organized in the context of the CoreGRID Network of Excellence and wishes to provide a forum for the presentation and exchange of views on the latest developments in Grid Technology research.

The CoreGRID Network of Excellence aims at strengthening and advancing scientific and technological excellence in the area of Grid and Peer-to-Peer technologies. To achieve its objectives, CoreGRID brings together a critical mass of well-established researchers from forty-two Institutes active in the fields of distributed systems and middleware, programming models, algorithms, tools and environments.

 The major topics of interests include but are not limited to:

    * Grid Services and Applications
    * Resource Access and Service Provision
    * Peer-to-Peer Techniques for Grids
    * Scalable Grid Services
    * Scalable Resource Discovery
    * Data Management in Grids
    * Fault-Tolerance in Grid
    * Grid Dependability
    * Dependability Benchmarking in Grid
    * Autonomic aspects in Grid computing
    * Automated Configuration of Grid Resources
    * Grid Architecture, Middleware, and Tools
    * Grid Monitoring and Security
    * Desktop Grid Architectures
    * Grid Programming Models
    * Component based programming models and tools
    * Services and Service oriented architectures
    * Grid Security";"grid; middleware; services; P2P";;;24800;;;;;;;;;;
10630;10630;2318/1512813;Validazione non prevista (pubblicato);Toward a formal semantics for autonomic components;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;si;"Marco Aldinucci; Emilio Tuosto";2;;Internazionale;;;;eng;;http://compass2.di.unipi.it/TR/Files/TR-08-08.pdf.gz;;;;"Autonomic management can improve the QoS provided by parallel/distributed applications. Within the CoreGRID Component Model, the autonomic management is tailored to the automatic - monitoring-driven - alteration of the component assembly and, therefore, is defined as the effect of (distributed) management code.
This work yields a semantics based on hypergraph rewriting suitable to model the dynamic evolution and non-functional aspects of Service Oriented Architectures and component-based autonomic applications. In this regard, our main goal is to provide a formal description of adaptation operations that are typically only informally specified. We contend that our approach makes easier to raise the level of abstraction of management code in autonomic and adaptive applications.";"semantics; components; graph rewriting";;;24800;;;;;;;;;;
10636;10636;2318/1512819;Validazione non prevista (pubblicato);Towards a Spatio-Temporal sKeleton Model implementation on top of SCA;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;si;"Marco Aldinucci; Marco Danelutto; Hinde Lilia Bouziane; Christian Perez";4;;Internazionale;;;;eng;;http://www.coregrid.net/mambo/content/view/566/377/;;;;This report investigates an implementation of S T K M, a Spatio-Temporal sKeleton Model. STKM expands the Grid Component Model (GCM) with an innovative programmable approach to compose an application by combining component, workﬂow and skeleton concepts. We explore a project ion of the model on top of SCA and its implementation using Tuscany Java SCA. Experimental results show the need and beneﬁts of the high level of abstraction offered by STKM.;;;;24800;;;;;;;;;;
10637;10637;2318/1512820;Validazione non prevista (pubblicato);Proceedings of the programming model institute technical meeting 2008;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;si;"Marco Aldinucci; Sonia Campa; Massimo Coppola; Marco Danelutto; Giorgio Zoppi; Alessandro Basso; Alexander Bolotov; Francoise Baude; Hinde Lilia Bouziane; Denis Caromel; Ludovic Henrio; Christian Perez; Jose Cunha; Michael Classen; Philipp Classen; Christian Lengauer; J. Cohen; S. Mc Gough; Natalie Currle-Linde; Patrizio Dazzi; Nicola Tonellotto; Jan Duennwebber; Sergei Gorlatch; Peter Kilpatrick; Nadia Ranaldo;  Eugenio Zimeo";26;;Internazionale;;;;eng;;http://www.coregrid.net/mambo/content/view/566/377/;;;;"In January 2008, the Programming model Institute of CoreGRID held a plenary meeting in Paris. The meeting was aimed at discussing progress achieved on the Programming model Institute research themes. During the meeting – most of the Institute partners were attending – different researchers presented their on-going work related to the Institute research themes. The meeting was also notable in that it was the ﬁrst technical meeting where the new 
Associate partners of CoreGRID (those involved in the Programming model Institute activities) participated actively. 
This report hosts a synthetic version of the work presented in the Paris meeting. The different contributions cover the most important research themes of the Institute. In particular, four contributions are related to autonomic features in GCM (the ones presented in Sec. 4, 6, 7 and 8), and three deal with workﬂow/component related themes (Sec. 3, 9 and 10). Overall, all the contributions are more or less directly related to GCM and, more generally, to component programming models.";;;;24800;;;;;;;;;;
10640;10640;2318/1512823;Validazione non prevista (pubblicato);"Review MR2968322 of Dal Lago, Ugo; Martini, Simone. On constructor rewrite systems and the lambda-calculus. Log. Methods Comput. Sci. 8 (2012), no. 3, 3:12.";2013;;;info:eu-repo/semantics/article;03D-Recensione in Rivista;;;no;Luca Paolini;1;;;Nessuno;;;eng;0273-0979;http://www.ams.org/mathscinet/search/publdoc.html?pg1=RVRI&pg3=authreviews&s1=660755&sort=Newest&vfpref=html&r=8&mx-pid=2968322;;;;;;;;11094;"PE1_1 - Logic and foundations (erc_2022) ; PE6_3 - Software engineering, programming languages and systems (erc_2022) ; PE6_4 - Theoretical computer science, formal methods, automata (erc_2022) ; PE6_14 - Quantum computing (formal methods, algorithms and other computer science aspects) (erc_2022)";;;;;;;1.172;;2
10665;10665;2318/1512858;Validazione non prevista (pubblicato);FastFlow: Efficient Parallel Streaming Applications on Multi-core;2009;;;info:eu-repo/semantics/other;07Z-Altro;;;no;"Marco Aldinucci; Massimo Torquati; Massimiliano Meneghin";3;;Internazionale;;;;eng;;http://arxiv.org/abs/0909.1187;;;;"Shared memory multiprocessors come back to popularity thanks to rapid spreading of commodity multi-core architectures. As ever, shared 
memory programs are fairly easy to write and quite hard to optimise;  providing multi-core programmers with optimising tools and programming frameworks is a nowadays challenge. Few efforts have been done to support effective streaming applications on these architectures. In this paper we introduce FastFlow, a low-level programming framework based on lock-free queues explicitly designed to support high-level languages for streaming applications. We compare FastFlow with state-of-the-art programming frameworks such as Cilk, OpenMP, and Intel TBB. We experimentally demonstrate that FastFlow is always more efficient than all of them in a set of micro-benchmarks and on a real world application; the speedup edge of FastFlow over other solutions might be bold for fine grain tasks, as an example +35% on OpenMP, +226% on Cilk, +96% on TBB for the alignment of protein P01111 against UniProt DB using Smith-Waterman algorithm.";"Smith-Waterman; Fastflow; lock-free; multi-core; multithreading";;;24800;;;;;;;;;;
10667;10667;2318/1512860;Validazione non prevista (pubblicato);D.NFCF.03 - Methodology to derive performance models for component and composite components;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;no;"Marco Aldinucci; Sonia Campa; Patrizio Dazzi; Nicola Tonellotto; Giorgio Zoppi";5;;Internazionale;;;;eng;;http://gridcomp.ercim.org/;;;;"This deliverable describes the methodology and the strategies used to derive the performance models used within the autonomic managers of behavioural skeletons modelling common parallelism exploitation patterns within GCM. 
In particular, we describe the general features of the functional replication behavioural skeleton as representative of a whole class of GCM composite components modelling classical parallel 
patterns. Then we outline the methodology used to derive performance models. Eventually, we will shortly discuss the results achieved by implementing autonomic controllers that used 
that performance models to autonomically take care of performance tuning of these behavioural skeletons.";"Components; autonomic computing; GCM";;;24800;;;;;;;;;;
10668;10668;2318/1512861;Validazione non prevista (pubblicato);D.NFCF.04 - NFCF prototype and early documentation;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;no;"Marco Aldinucci; Sonia Campa; Patrizio Dazzi; Nicola Tonellotto; Giorgio Zoppi";5;;Internazionale;;;;eng;;http://gridcomp.ercim.org/;;;;"The D.NFCF.01 deliverable of the GridCOMP pro ject, provides an 
architectural speciﬁcation of a GCM autonomic component. A GCM autonomic component is a component exploiting two levels of adaptivity: i) a passive level, in which autonomic operations 
are provided as a set of limited and well-deﬁned primitives; ii) an active level, in which the adaptive behaviour of the component is leaded by a manager who takes care of planning and 
taking adaptive decisions. The current deliverable is intended to be a tutorial concerning the step-by-step usage of 
the second year prototype version of a GCM autonomic components implementation we have developed in the GridCOMP pro ject context, focusing on behavioural skeleton. Behavioural 
skeletons abstract component self-management in component-based design as design patterns abstract class design in classic OO development. Thus, behavioural skeleton describe recurring 
patterns of component assemblies that can be equipped with current and eﬀective management strategies (as the ones deﬁned in D.NFCF.03 to which this document is related) with respect to 
a given management goal provided as a Quality of Service (QoS) contract. All the examples and use-cases described in this tutorial are used to illustrate the usage of the autonomic management API. The examples are a part of the source code distributed as a 
zip archive with the current document.";"Components; autonomic computing; GCM";;;24800;;;;;;;;;;
10846;10846;2318/1513106;Validazione non prevista (pubblicato);apPlications of declArative & object-oriented Parallel Programming (PAPP 2005) - part of the ICCS( International Conference on Computational Science), Atlanta, USA.;2005;;;info:eu-repo/semantics/other;07Z-Altro;;;no;Marco Aldinucci;1;;Internazionale;;;;eng;;http://papp2005.free.fr/;10.1007/b136570;;;Sequential programming has long benefited from high-level programming techniques and tools that have made today's immense range of software economically viable. Two decades of research into high-level parallel programming (algorithmic skeletons, parallel execution of declarative programs such as SQL queries, ...) has produced methods and tools that improve the price/performance ratio of parallel software, and broaden the range of target applications. Several emerging domains, such as grid computing, are currently raising new issues. The PAPP workshop focuses on practical aspects of high-level parallel programming: design, implementation and optimization of high-level programming languages and tools, applications in computational science, benchmarks and experiments using these high-level tools. http://papp2005.free.fr/;;;;24800;;;;;;;;;;
10848;10848;2318/1513112;Validazione non prevista (pubblicato);Vigoni (Pisa-Berlin/Muenster Exchange Programme): Skeleton based programming and scheduling for grid.;2005;;;info:eu-repo/semantics/other;07Z-Altro;;;si;Marco Aldinucci;1;;Internazionale;;;;eng;;;;;;;;;;24800;;;;;;;;;;
10915;10915;2318/1513186;Validazione non prevista (pubblicato);GridCoord (EC-Special Action, 6th FP): ERA Pilot on Co-ordinated Europe-wide initiative in Grid Research.;2004;;;info:eu-repo/semantics/other;07Z-Altro;;;no;Marco Aldinucci;1;;Internazionale;;;;eng;;http://www.gridcoord.org/grid/portal;;;;"Currently several Grid Research initiatives are on-going or planned at national and European Community level. These initiatives propose the development of a rich set of advanced technologies, methodologies and applications, however enhanced co-ordination amongst the funding bodies is required to achieve critical mass, avoid duplication and reduce fragmentation in order to solve the challenges ahead. In the 2002 – 2006 timeframe, the funding for Grid research and deployment at EU level more than doubled passing from FP5 to FP6 reaching the amount of 275 M€. During the same period, an estimate of the funding for Grid research and deployment by Member and Accession States (UK, France, Italy, The Netherlands, Germany, Hungary, Spain, Poland, Czech Republic, Sweden) is about 300-500 M€. The totality of these initiatives could provide the EU with the potential to play a world leadership role in Grid technologies and applications. National and EU collaborations have been established with other international players (in the US and Asia-Pacific) and with international standards organisations. However, if Europe wishes to compete with leading global players, it would be sensible to attempt to better coordinate its various, fragmented efforts towards achieving critical mass and the potential for a more visible impact at an international level. Achieving such a coordinated approach will require:

- Co-ordination among the funding authorities in order to maximise the effective use of the considerable resources;
- Collaboration amongst the individual researchers; the creation of European excellence and competence centres
- A visionary research agenda.

The first objective of this proposal is to strengthen co-operation amongst the funding authorities in order to better co-ordinate the planning of future activities in the field of Grid research, an ERA objective. A second objective is to enhance the already ongoing collaboration among the research actors and users. A third objective is to develop, based on the above, national and EU Programme visions and roadmaps enabling Europe to play a leadership role in Grid technologies and applications.";"grid; parallel computing";;;24800;;;;;;;;;;
10942;10942;2318/1513225;Validazione non prevista (pubblicato);Reasoning Web, 4th International Summer School 2008;2008;;;info:eu-repo/semantics/other;05A-Curatela;;;si;"Cristina Baroglio; Piero A. Bonatti; Jan Maluszynski; Massimo Marchiori; Axel Polleres; Sebastian Schaffert";6;;Internazionale;;;;eng;;;10.1007/978-3-540-85658-0;;9783540856566;;;;;15285;;1;;2-s2.0-57849145710;;;;;;
10977;10977;2318/1513262;Validazione non prevista (pubblicato);GCM: Grid Component Model - reference implementation with autonomic features (NFCF prototype and early documentation);2008;;;info:eu-repo/semantics/other;07M-Software;;;no;"Marco Aldinucci; Marco Danelutto; Sonia Campa; Giorgio Zoppi; Nicola Tonellotto; Patrizio Dazzi";6;;Internazionale;;;;eng;;"http://calvados.di.unipi.it/dokuwiki/doku.php?id=aldinucnamespace:software; http://gridcomp.ercim.org/";;;;"GridCOMP provides the reference implementation of the Grid Component Model (GCM). The developed prototype takes the ProActive Parallel Suite as the starting point to provide the functional features of GCM components such as :

- a deployment framework, standardized by ETSI and providing interoperability with several grid schedulers and middleware, 
- primitive and composite components supporting collective communications.

The GCM implementation targets all software architects in need of a comprehensive framework to express at design time the parallelisms and the distribution of an application. Therefore, the architecture of the system itself captures the parallel/distributed aspects, acting as a powerful specification and documentation.

The GCM provides functional concerns, but also non-functional concerns by means of (hierarchical-) autonomic managers within behavioural skeletons. With Behavioural skeletons, programmers just provide contracts to be satisfied and instantiate existing GCM composites to get completely functional applications with non functional concern auto-tuning, and, thus, avoid high programming efforts to programmers. Behaviorual skeletons have been already demonstrated to be able to take care of performance non functional concerns. Preliminary results have been shown that demonstrated how they can be used to handle other non functional concerns, including fault tolerance and security issues.";"behavioral skeleton; component; autonomic computing; GCM";;;24800;;;;;;;Sì;;;
11525;11525;2318/79498;Validazione non prevista (pubblicato);Annotation Schema Oriented Validation for Dependency Parsing Evaluation;2010;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"Cristina BOSCO; Alberto LAVELLI";2;;Internazionale;Esperti anonimi;;;eng;;http://dspace.utlib.ee/dspace/handle/10062/15932;;;;;"Italian; treebank; parsing evaluation";;;13245;;;;;;;4 - Workshop;;;
12013;12013;2318/1517031;Validazione non prevista (pubblicato);Efficient Parallel MonteCarlo with FastFlow;2010;;;info:eu-repo/semantics/bookPart;02A-Contributo in volume;;;no;Marco Aldinucci;1;;Internazionale;Esperti anonimi;;;eng;;http://www.hpc-europa.eu/files/SSCinEurope/CD2010/index.html;;;9788886037242;The stochastic simulation of natural systems is a very informative but happens be computationally expensive. We present StochKit-FF, an parallel version of StochKit, a reference toolkit for stochastic simulations that sustantially improves StochKit performances on multi-core platforms.;"Parallel computing; stochastic simulation; multicore";;;24800;;;;;;;;;;
12703;12703;2318/1518646;Validazione non prevista (pubblicato);FastFlow: high-level and efficient streaming on multi-core;2017;;;info:eu-repo/semantics/bookPart;02A-Contributo in volume;;;si;"Marco Aldinucci; Marco Danelutto; Peter Kilpatrick; Massimo Torquati";4;;Internazionale;Esperti anonimi;;;eng;;http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0470936908.html;10.1002/9781119332015;;9780470936900;The pervasiveness of multi–core processors affects a large spectrum of systems from embedded and general–purpose to high–end computing systems. This book assists the programmers in mastering the efficient programming of multi–core systems, which is of paramount importance for the software–intensive industry towards a more productive product–development cycle. All programmers of modern computing systems are faced with the programming of multicore and many–core systems. This book will help learn the state–oft–he–art methods and tools for programming such systems.;;;;24800;;6;;2-s2.0-85019614769;;;;;;
12878;12878;2318/1518849;Validazione non prevista (pubblicato);FastFlow (v2.0);2012;;;info:eu-repo/semantics/other;07M-Software;;;no;"Marco Aldinucci; Massimo Torquati";2;;Internazionale;;;;eng;;"http://di.unito.it/fastflow; http://mc-fastflow.sourceforge.net; http://sourceforge.net/projects/mc-fastflow/";;;;;"Distributed computing; multi-core; many-core; GPGPU; parallel programming; streaming; skeletons; accelerator; non-blocking; synchronization; lock-free; wait-free; non-blocking algorithms; function offload";;;24800;;;;;;;Sì;;;
13096;13096;2318/1519123;Validazione non prevista (pubblicato);On a class of dynamical systems with singular potential;1991;;;info:eu-repo/semantics/article;03A-Articolo su Rivista;;;no;"Alberto, Capozzi; Sergio, Solimini; Susanna, Terracini";3;;;Esperti anonimi;;;eng;0362-546X;;10.1016/0362-546X(91)90145-Q;;;;;;;3500;;6;WOS:A1991FP06000001;2-s2.0-42649104640;6;;;;;1.3
